CODIGO;DESCRIPCION;FAMILIA;CANTIDAD;DEMANDA_APLICABLE;S_MIN;COMPRA_MIN;LOTE;PEDIR
11460;PIEDRAS SANITARIAS SILICAS WIPUP CON FRAGANCIA 3,8 LTS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11461;PIEDRAS SANITARIAS SILICAS WIPUP 3.8 LTS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11462;PIEDRAS SANITARIAS AGLUTINANTES CON FRAGANCIA ZOOTEC 4 KG;ACCESORIOS;0.0;0.26;1.0;1;1;1
11463;PIEDRAS PELLET NATURAL DAMY 15 KG;ACCESORIOS;0.0;0.17;1.0;1;1;1
11466;ZEE DOG BRAIN FREEZE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11468;TRIXIE CORREA PREMIUM DOBLE M/L;ACCESORIOS;0.0;0.0;0.0;1;1;0
11469;ROLLO SACA PELUSA;ACCESORIOS;0.0;0.75;1.0;9;9;9
11471;INJECTION x 50 ml;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11472;SERENEX DIFUSOR FELINO X 42 ml;MEDICAMENTOS FARMACIA;3.0;1.5;1.0;1;1;0
11474;ROLL CHICO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11475;COMPLEJO VITAMINICO X 100 CC;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11476;ROYAL C V-DIET URINARY CARE 1,5 KG;BALANCEADOS;8.0;10.43;6.0;1;1;0
11478;PRETAL DIAMANTE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11479;PRETAL ANIMADO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11484;PER-ROS JUGUETE HUESO COLOR LISO CON PALABRA 16 CM;ACCESORIOS;0.0;0.0;0.0;1;1;0
11485;GOLOSINA GALLETAS HORNEADAS PETS CLASS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11486;GOLOSINA PALITOS DE CARNE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11488;GOLOSINA COOKIES ZOOTEC GATOS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11490;RASCADOR BACHICHAS 2;ACCESORIOS;0.0;0.0;0.0;1;1;0
11491;MUEBLE IMPORTADO N13-17;ACCESORIOS;0.0;0.0;0.0;2;2;0
11492;RASCADOR PLATAFORMA 46 CM;ACCESORIOS;0.0;0.0;0.0;1;1;0
11493;RASCADOR IMPORTADO DE CARTON;ACCESORIOS;0.0;0.0;0.0;1;1;0
11495;COMEDERO ACERO INOX 0.4 L;ACCESORIOS;0.0;0.0;0.0;1;1;0
11502;COMEDERO ACERO INOX 0.9 L AZUL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11507;COMEDERO ACERO INOX 0.9 L ROJO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11508;RDB CORREA LISA 2 MT;ACCESORIOS;0.0;2.92;2.0;3;1;3
11509;RDB PRETAL LISO 8;ACCESORIOS;0.0;0.0;0.0;3;3;0
11510;RDB PRETAL LISO 10;ACCESORIOS;0.0;0.17;1.0;2;2;2
11511;RDB PRETAL LISO 9;ACCESORIOS;0.0;0.42;1.0;3;3;3
11512;RDB CORREA LISA 5 MT;ACCESORIOS;0.0;1.75;1.0;1;1;1
11513;RDB PRETAL ESTAMPADO 7;ACCESORIOS;0.0;1.51;1.0;2;1;2
11514;PRETAL ESTAMPADO RDB 9;ACCESORIOS;0.0;0.0;0.0;1;1;0
11515;CADENA CROMADA 1.20 MT MEDIANA RDB;ACCESORIOS;0.0;0.0;0.0;1;1;0
11516;RDB CADENA CROMADA 1.20 MT;ACCESORIOS;0.0;0.0;0.0;3;3;0
11518;RDB LAUCHITAS ARCO IRIS X 3;ACCESORIOS;0.0;0.0;0.0;2;1;0
11519;RDB DADO PORTA ALIMENTO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11520;MILLEX DOGZILLA COLCHON;ACCESORIOS;0.0;0.0;0.0;1;1;0
11521;CORREA REFLECTIVE M PET NATION;ACCESORIOS;0.0;0.0;0.0;1;1;0
11522;CORREA FLEXI NEW COMFORT M CORDON 5M 20 Kg;ACCESORIOS;0.0;0.0;0.0;1;1;0
11523;RAST CONJUNTO CORREA 1.2 Y COLLAR LYCRA TRENZADA O CUERO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11524;CAZADORA GRANDE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11526;PER-ROS COMEDERO SILICONA PLEGABLE 17,7 CM;ACCESORIOS;0.0;0.0;0.0;1;1;0
11528;ONCOVET TL 30 MG x blister;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11529;CANIS ENDO SPOT 26 - 40;MEDICAMENTOS FARMACIA;3.0;0.0;0.0;1;1;0
11530;RDB CEPILLO CARDINA DIENTES DE COLORES;ACCESORIOS;0.0;0.0;0.0;1;1;0
11532;EXCELLENT CAT ESTERILIZADOS 1 KG;BALANCEADOS;38.0;14.95;9.0;6;3;0
11533;OFLOXACINA CONDROITIN;MEDICAMENTOS FARMACIA;2.0;4.75;3.0;1;1;1
11534;TORACARD 10 ML;MEDICAMENTOS FARMACIA;1.0;2.08;2.0;1;1;1
11538;CEPILLO DESLANADOR;ACCESORIOS;0.0;0.0;0.0;1;1;0
11541;POUCH PETS CLASS GATO;BALANCEADOS;0.0;0.0;0.0;1;1;0
11542;POUCH PETS CLASS PERRO;BALANCEADOS;0.0;0.0;0.0;1;1;0
11545;ROYAL C RELAX CARE MINI 2,5 KG;BALANCEADOS;0.0;0.0;0.0;1;1;0
11549;GIGWI FEATHER TEASER;ACCESORIOS;0.0;0.0;0.0;1;1;0
11550;DISPENSER DE COMIDA SAONE 11 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
11552;DISPENSER DE COMIDA SAONE 6 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
11553;COMEDERO MARVEL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11554;CANCAT PAJARRACO CON PLUMA 9.5 X 7 CM.;ACCESORIOS;0.0;0.0;0.0;1;1;0
11556;MOXIOFTAL COLIRIO;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11558;MOISES MEDIUM 59X40;ACCESORIOS;0.0;0.0;0.0;1;1;0
11560;ZEE DOG MR X;ACCESORIOS;0.0;0.0;0.0;1;1;0
11564;PIEDRAS SANITARIAS TIDY CATS 3.6 KG;ACCESORIOS;0.0;1.18;1.0;6;6;6
11565;COLLAR CUERO AHORQUE TRENZADO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11566;KONG BABBLER S PBR3;ACCESORIOS;0.0;0.0;0.0;1;1;0
11569;CATIT FUENTE PIXI BLANCA 2,5 L;ACCESORIOS;0.0;0.0;0.0;1;1;0
11570;PER-ROS FUNDA PARA ALMOHADONES;ACCESORIOS;0.0;0.0;0.0;1;1;0
11574;ROYAL C FELINE POUCH APPETITE;BALANCEADOS;0.0;0.0;0.0;1;1;0
11575;ROYAL C APPETITE CTRL CASTRADOS x 1,5 kg;BALANCEADOS;0.0;0.51;1.0;1;1;1
11576;RANIVET 40 MG BLISTER;MEDICAMENTOS FARMACIA;0.0;3.27;2.0;1;1;2
11580;COMEDERO ACERO 34 CM;ACCESORIOS;0.0;0.0;0.0;1;1;0
11581;CARDINA OVALADA PLASTICA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11582;ANIMAL PET COMEDERO/BEBEDERO DE VIAJE PLEGABLE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11586;BESTIA PELUDA RASCADOR DINA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11589;ZEE DOG PRETAL H TAROT S;ACCESORIOS;0.0;0.0;0.0;1;1;0
11591;ZEE DOG PRETAL H MAHALO M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11592;PRO PLAN DOG SENSITIVE SKIN RAZAS PEQ x 3 kg;BALANCEADOS;0.0;0.0;0.0;1;1;0
11593;ZEE DOG PRETAL H L;ACCESORIOS;0.0;0.0;0.0;1;1;0
11594;RDB VARITA GATO ORUGA;ACCESORIOS;0.0;0.92;1.0;6;6;6
11595;ZEE DOG RUN BELT RIÑONERA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11597;ZEE DOG CORREA MANOS LIBRES;ACCESORIOS;0.0;0.0;0.0;1;1;0
11599;ZEE DOG PRETAL ANTITIRON todos los talles;ACCESORIOS;0.0;0.0;0.0;1;1;0
11603;PER-ROS ARNES ESCOCES M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11604;PER-ROS ARNES PIE DE POULE XL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11605;PER-ROS ARNES ESCOCES L;ACCESORIOS;0.0;0.0;0.0;2;2;0
11608;GOLOSINA DENTAL PLUS XS;ACCESORIOS;0.0;2.0;2.0;5;5;5
11610;RDB VARITA GATO TAMBOR PLUMAS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11613;MEDALLA AUTOGRABABLE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11614;MEDALLA AUTOGRABABLE CHICA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11615;MEDALLA AUTOGRABABLE GATO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11616;RAST CARDINA DOBLE DE MADERA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11617;CARDINA DOBLE MANGO PLASTICO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11618;CLEAN EYES X 50GR;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11619;CONJUNTO TREKKING S;ACCESORIOS;0.0;0.0;0.0;1;1;0
11620;NACIONAL CONJUNTO TREKKING M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11622;FLOXADAY 200 MG X 10 COMP;MEDICAMENTOS FARMACIA;1.0;0.0;0.0;1;1;0
11623;FLOXADAY 400 MG X 10 COMP;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11624;PROTELIV X 21 COMP;MEDICAMENTOS FARMACIA;2.0;16.23;10.0;1;1;8
11625;POTEN PET GATOS PASTA PALATABLE;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;2;2;0
11626;RDB COLLAR AHORQUE CROMADO 3MM X 22 PULG;ACCESORIOS;0.0;0.0;0.0;1;1;0
11628;CAMPERA CAMUFLADA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11630;ROYAL C FELINE POUCH SENSORY SMELL;BALANCEADOS;0.0;33.5;19.0;48;48;48
11633;DOG CORREA ACOLCHADA XS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11634;DOG ARNES ACOLCHADO PREMIUM ANTI TIRON S/M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11638;RANITIDINA 40MG KUALCOS;MEDICAMENTOS FARMACIA;15.0;18.35;11.0;10;10;0
11639;PRO PLAN DOG EXIGENT SMALL BREED X 1 KG;BALANCEADOS;0.0;0.0;0.0;1;1;0
11640;PEINE MANOPLA DE GOMA;ACCESORIOS;0.0;0.0;0.0;2;2;0
11642;GOLO MIAU DENTAL CARE;BALANCEADOS;0.0;0.0;0.0;1;1;0
11646;RASCADOR PREMIUM Nº1 30x40x37;ACCESORIOS;0.0;0.0;0.0;1;1;0
11647;RDB COLLAR BORDADO 1;ACCESORIOS;0.0;0.0;0.0;3;3;0
11648;RDB COLLAR BORDADO 2;ACCESORIOS;0.0;0.0;0.0;3;3;0
11649;RDB COLLAR BORDADO 3;ACCESORIOS;0.0;0.0;0.0;1;1;0
11650;RDB COLLAR BORDADO 4;ACCESORIOS;0.0;0.0;0.0;3;3;0
11651;RDB COLLAR BORDADO 5;ACCESORIOS;0.0;0.0;0.0;3;3;0
11652;RDB COLLAR BORDADO 6;ACCESORIOS;0.0;0.0;0.0;3;3;0
11653;RDB PRETAL FIJO 1;ACCESORIOS;0.0;0.0;0.0;6;6;0
11654;RDB PRETAL FIJO 2;ACCESORIOS;0.0;0.0;0.0;2;2;0
11655;RDB PRETAL FIJO 3;ACCESORIOS;0.0;0.45;1.0;4;4;4
11656;RDB PRETAL FIJO 4;ACCESORIOS;0.0;1.28;1.0;2;1;2
11657;RDB PRETAL FIJO 5;ACCESORIOS;0.0;2.6;2.0;2;1;2
11658;RDB PRETAL FIJO 6;ACCESORIOS;0.0;1.05;1.0;5;1;5
11659;RDB PRETAL FIJO 7;ACCESORIOS;0.0;0.67;1.0;1;1;1
11660;RDB PRETAL FIJO 8;ACCESORIOS;0.0;0.75;1.0;1;1;1
11661;RDB PRETAL FIJO 9;ACCESORIOS;0.0;0.33;1.0;5;5;5
11662;RDB CORREA BORDADA N 1;ACCESORIOS;0.0;0.58;1.0;6;6;6
11663;CORREA SUBLIMADA 2;ACCESORIOS;0.0;0.0;0.0;1;1;0
11664;CORREA SUBLIMADA 3;ACCESORIOS;0.0;0.0;0.0;1;1;0
11665;CORREA SUBLIMADA 4;ACCESORIOS;0.0;0.0;0.0;1;1;0
11666;TRIXIE ARNES PREMIUM S-M;ACCESORIOS;0.0;2.5;2.0;2;2;2
11667;TRIXIE ARNES PREMIUM M-L;ACCESORIOS;0.0;1.67;1.0;1;1;1
11668;TRIXIE ARNES PREMIUM XS-S;ACCESORIOS;0.0;0.25;1.0;2;1;2
11669;TRIXIE ARNES PREMIUM L-XL;ACCESORIOS;0.0;1.85;2.0;1;1;2
